test_id,hard_cap,burn_unit,reward,halving,epochs,final_cost,total_val,description
A25,1000000,1000000,2000,25,6,50.0,,"Halving 25%"
A30,1000000,1000000,2000,30,7,50.0,,"Halving 30%"
A35,1000000,1000000,2000,35,8,50.0,,"Halving 35%"
A40,1000000,1000000,2000,40,9,50.0,,"Halving 40%"
A45,1000000,1000000,2000,45,7,3.125,,"Halving 45%"
A50,1000000,1000000,2000,50,5,0.4,,"Halving 50%"
A55,1000000,1000000,2000,55,5,0.27472527244851447,,"Halving 55%"
A60,1000000,1000000,2000,60,4,,,"Halving 60%"
A65,1000000,1000000,2000,65,4,,,"Halving 65%"
A70,1000000,1000000,2000,70,4,,,"Halving 70%"
A75,1000000,1000000,2000,75,4,,,"Halving 75%"
A80,1000000,1000000,2000,80,3,,,"Halving 80%"
A85,1000000,1000000,2000,85,3,,,"Halving 85%"
A90,1000000,1000000,2000,90,3,,,"Halving 90%"
B100,1000000,1000000,100,70,11,50.0,28934950.0,"Reward 100"
B500,1000000,1000000,500,70,7,0.8620689591382618,,"Reward 500"
B1000,1000000,1000000,1000,70,5,0.20833333333333334,,"Reward 1000"
B2000,1000000,1000000,2000,70,4,,,"Reward 2000"
B5000,1000000,1000000,5000,70,2,,,"Reward 5000"
B10000,1000000,1000000,10000,70,1,,4999.995,"Reward 10000"
B20000,1000000,1000000,20000,70,1,,2499.995,"Reward 20000"
C10000,1000000,10000,2000,70,17,10.0,3425220.0,"Burn 10000 (Init val $50.000)"
C50000,1000000,50000,2000,70,12,1.3157894638937462,547117.105,"Burn 50000 (Init val $250.000)"
C100000,1000000,100000,2000,70,10,0.6329112831755213,269068.985,"Burn 100000 (Init val $500.000)"
C500000,1000000,500000,2000,70,5,0.10416665803404018,,"Burn 500000 (Init val $2500.000)"
C1000000,1000000,1000000,2000,70,4,,,"Burn 1000000 (Init val $5000.000)"
C2000000,1000000,2000000,2000,70,3,,,"Burn 2000000 (Init val $10000.000)"
C5000000,1000000,5000000,2000,70,1,,,"Burn 5000000 (Init val $25000.000)"
D1,1000000,1000000,500,50,9,50.0,,"Lower reward, 50% halving"
D2,1000000,1000000,200,40,6,50.0,,"Very low reward, 40% halving"
D3,1000000,1000000,100,35,5,50.0,,"Minimal reward, 35% halving"
D4,10000000,1000000,1000,45,9,50.0,,"10M supply, 45% halving"
D5,1000000,500000,1000,50,10,50.0,29757450.0,"Lower burn unit"
